# Reference time: 2020-04-15 08:48:05.557
#
# Each line represents a single LED (low energy detector) count.
#
# tus -- time of the count, microsecond
# erg -- energy of the count in channel units
# dau -- DAU (detector assembly unit) of the count (there are four DAUs: 0, 1, 2, 3)
# add -- address of the count within the DAU (each DAU has 32 addresses: [0:31])
# chn -- channel of the count for each address (each address has 128 channels: [0:127])
# mlh -- "multihit" flag of the count, meaning how many simultaneous counts were detected: [0:3]
#         0 --> a single count
#         1 --> 2 counts
#         2 --> 3 counts
#         3 --> 4+ counts
#
#
#
#     tus      erg   dau  add    chn   mlh
#
 -933508     845    0     2    113    0 
 -933454     266    0     2     94    0 
 -933260     874    0     1     91    0 
 -933260     903    2    24     92    0 
 -933260     886    0    11    123    1 
 -933259     612    2     4     96    0 
 -933259     175    2    19    108    0 
 -933207     881    1    10     83    0 
 -932977     881    0    24     44    1 
 -932666     890    2    30     64    0 
 -932665     873    3    22     48    0 
 -932665     913    2     4     12    0 
 -932665     901    2    13     41    0 
 -932664     180    0    19     89    0 
 -932664     182    0    27      0    0 
 -932634     255    2    11    119    0 
 -932435     877    3    31     87    0 
 -932350     647    3    27      4    1 
 -931918     741    3     2    106    0 
 -931186    1010    0    23    127    2 
 -931185     888    0    29     97    0 
 -931185     899    2     9     15    0 
 -931185     199    1    22    123    0 
 -930409     898    2    22     84    0 
 -930038     407    2    28     82    0 
 -929712     864    3    24     38    0 
 -929684     331    0    24     11    0 
 -929606     628    0    16     56    0 
 -929552     886    0    28     14    0 
 -929453     308    2    18    102    0 
 -929331     918    1    22     69    0 
 -929331     391    2     0    119    0 
 -929174     896    2    27     63    1 
 -929120     258    0     2    104    0 
 -929102     536    0     5     89    0 
 -929058     166    0    27     66    0 
 -928830     317    1    17     14    0 
 -928633     869    3    21     26    0 
 -928633    1008    1    31    107    2 
 -928633     606    3     1     43    0 
 -928633     804    1     5     87    1 
 -928633     277    3     8     82    0 
 -928633    1021    1    15    109    2 
 -928633    1023    1    23    127    1 
 -928449     593    0    27     21    0 
 -928277     168    1    17     92    0 
 -928050     905    0    14     67    0 
 -928050     848    0     5     36    0 
 -928050     866    0    23    112    0 
 -927999     161    0    21     77    0 
 -927678     698    0    10     15    0 
 -927678     737    2    20    123    0 
 -927678     191    0     2     92    0 
 -927678     182    0    20     77    0 
 -927666     452    1    15     51    0 
 -927649     805    3    18     74    0 
 -927479    1023    2    27    118    1 
 -927433     761    3     5      0    0 
 -927433     855    3    13     86    0 
 -927031     856    0    17     87    0 
 -927031     882    0    24     56    0 
 -927030     164    1     0     41    0 
 -926696     304    0    22    114    0 
 -925943     500    1    21    127    1 
 -925643     479    2     2     23    0 
 -925492     233    0     5      1    0 
 -925374     699    3     0     63    0 
 -925237     741    3     1    112    0 
 -925237     530    3    16    115    0 
 -925068     267    1    26    117    0 
 -924894     546    2    18     57    0 
 -924510     884    2    19     17    0 
 -924510     895    2    27    119    0 
 -923757     862    3    24      8    0 
 -922213     398    1    27     91    0 
 -921360     668    3    24     65    0 
 -921140     488    2    16     88    0 
 -920930     732    3     6     71    0 
 -920930     852    3    14     97    0 
 -920926     179    3     6     54    0 
 -920745    1006    3    31    119    1 
 -920270     264    1     5      1    0 
 -919931     278    3     0     60    0 
 -919890     205    1     1     66    0 
 -919669     238    0    31     19    0 
 -919401     245    3    17    104    0 
 -919293     873    1    27     31    1 
 -919293     868    3     8      3    0 
 -919293     636    1    18     17    0 
 -919293     943    3     1    127    3 
 -919290     878    1    27     26    0 
 -919241     882    2    23     59    0 
 -919232     855    3    13     48    0 
 -918744    1023    0    11    124    1 
 -918744     994    0     7     63    1 
 -918667     539    0    15     69    0 
 -918592     240    3    28     44    0 
 -918441     893    2    20    116    0 
 -918441    1023    2    31    127    2 
 -918363     423    2    10    122    0 
 -918225     650    3    15     42    0 
 -917972     168    1    11     88    0 
 -917916     782    0    16     59    0 
 -917466     324    1    20    104    0 
 -917241     873    1    24    100    0 
 -917196     903    2    24     20    0 
 -917193     361    2    10     48    0 
 -917004     858    0    20     78    1 
 -917004     922    1     7     90    0 
 -916999     219    0    20     62    0 
 -916896     205    1     2     93    0 
 -916751     346    1    21     55    0 
 -916450     798    0    25     50    0 
 -916122     167    1     1     91    0 
 -916047     746    1    24     86    0 
 -916047     515    1     8      0    0 
 -915918     366    2    16     65    0 
 -915320     890    0    25     90    0 
 -915319     540    1     3     30    1 
 -915197     491    2    14     69    0 
 -914914     264    0    31    100    0 
 -914483     650    2    19     63    0 
 -914482     190    1    21     12    0 
 -914482     513    2     7     88    0 
 -914291     527    2     9     49    0 
 -913871     676    2    12     35    0 
 -913782     191    3    14    118    0 
 -913368    1023    2    23     92    1 
 -913313     191    0    22     43    0 
 -913130    1021    1    15     22    1 
 -913125     160    1    15    109    0 
 -912715     538    0     9    122    0 
 -912344     325    1    19     54    0 
 -911995     865    0    23     43    0 
 -911995    1023    0    15    125    1 
 -911821     754    1    29    115    0 
 -911821     623    1    23     99    0 
 -911811     472    1    22     82    0 
 -911811    1014    2    13    127    1 
 -911459     214    1    21     23    0 
 -911120     896    0     9     20    0 
 -910752     209    1     2      9    0 
 -910726     882    3    18     38    0 
 -910388     434    3    31     44    0 
 -910388     825    1    19     39    0 
 -910388     839    3    13     52    0 
 -910387     189    3     2     39    0 
 -909736     433    2     9     84    0 
 -908693     382    3    13     31    0 
 -908686     502    1    29     10    0 
 -908393     907    2    15     23    0 
 -908157     234    3    24     18    0 
 -907935     888    1    15     48    0 
 -907934     649    2    12    113    0 
 -907933     168    1    25     78    0 
 -907685     263    2    24    117    0 
 -907129     499    2    19     11    0 
 -907129     889    0    25    119    1 
 -906967     263    3     5    103    0 
 -905411     920    1    16     27    0 
 -905410     335    3     8     77    0 
 -905325     210    3     7     60    0 
 -905159     999    3     9    125    1 
 -905154     161    3     9      8    0 
 -904582     193    2    17      5    0 
 -904575     901    2     0    121    0 
 -904429     263    0     0     51    0 
 -904087     212    3    31     20    0 
 -903759     558    2     1    117    1 
 -903388     169    2     8      1    0 
 -903261     355    2     1     29    0 
 -903238     282    0    22     93    0 
 -903120     498    2     3      2    0 
 -902461     884    3    30     50    0 
 -902450     336    0    20     41    0 
 -902450     209    0    27     64    0 
 -900577     547    0     2     91    0 
 -900577    1023    2    29     63    1 
 -900576     291    2     6     65    0 
 -900353     358    1    25     80    0 
 -900018     720    1    28     99    0 
 -900017     350    3     0     44    0 
 -900017     504    1    19    107    0 
 -899840     882    1    13    106    0 
 -899523     259    1    31     89    0 
 -899235     263    3    22     33    0 
 -898124     255    0    16    109    0 
 -898124     325    2    30     96    0 
 -897916     849    0     4     87    0 
 -897768     456    0    17     14    0 
 -897182     994    0     5    127    1 
 -897152     506    2    31     93    0 
 -897134     867    3    20     97    0 
 -897134     607    3    26      1    0 
 -897133     313    1    31     82    0 
 -896801     511    0    30     71    0 
 -896447     346    1    17     77    0 
 -895220     653    3    19    116    0 
 -894960     286    0     9    125    0 
 -894837     266    0     2     14    0 
 -894537     306    2     0      0    0 
 -894328     284    0    20     44    0 
 -894302     534    3    31    116    0 
 -893948     865    0     3     17    0 
 -893948     907    0    14     94    0 
 -893948     884    0    31     63    0 
 -893803     930    1     1     80    0 
 -893730    1006    3    29    125    1 
 -893729     842    0    28     92    0 
 -893729     187    3    20    112    0 
 -893282     866    3    20     50    0 
 -892857     874    3    27     93    0 
 -892299    1023    2     7    127    3 
 -892177     198    0     4     39    0 
 -892168    1023    1     6     93    1 
 -892168    1021    1    15    123    2 
 -891756     469    3    15     93    0 
 -891433     531    0     5     56    0 
 -891328     434    0     1     54    0 
 -891231     369    3    19     30    0 
 -890521     338    0     5     11    0 
 -890293     854    3    14     26    0 
 -890129     359    0     9     70    0 
 -889648     741    2    30     82    0 
 -889355     678    3    21     32    0 
 -889310     855    0    21     95    0 
 -889295     803    1    17     16    0 
 -888904     863    0     3     59    1 
 -888429     478    3    13    103    0 
 -888368     256    3     1     94    0 
 -888010     834    0     3     15    0 
 -886526     883    2    19     44    0 
 -886377     840    2    27    123    0 
 -886183     218    2     1     94    0 
 -885644     332    1    11     37    0 
 -885615     383    1    13     39    0 
 -885460     332    1    27     64    0 
 -885349     214    0    21     42    0 
 -885184     268    0    24     25    0 
 -884871     275    2     6     50    0 
 -884727     230    2    14    124    0 
 -884446     892    2     8     24    0 
 -884291     864    2    25     29    0 
 -884291     242    0     5     82    0 
 -884112     866    1    25     62    0 
 -884107     330    1    29     67    0 
 -884001     209    0    16     74    0 
 -883920     526    0    21     54    0 
 -883889     198    2     1     67    0 
 -883558     194    0     1     58    0 
 -883475     532    2    13     38    0 
 -882459     994    0     3     59    1 
 -882308     263    0     3     33    0 
 -881812     845    0     0    106    0 
 -881450     470    1    29     96    0 
 -881297     151    3     0     94    0 
 -881132     218    0    26     71    0 
 -880859     471    2     2     27    0 
 -880634     349    1     6     63    0 
 -880311     530    1    11    110    0 
 -880225     889    0    10     69    0 
 -880224     292    2    22    127    0 
 -880214     911    2     6     48    0 
 -880214     871    3    23     95    0 
 -880214     277    1    31    126    0 
 -880146     748    3     0     54    0 
 -880013     890    0    25    126    0 
 -879863     855    0    21     27    0 
 -879187     363    2    22     85    0 
 -878810     999    3    11    111    1 
 -878429     936    1     5     53    0 
 -877836     240    0    10    124    0 
 -877393     874    3    25     23    0 
 -876710     662    1    15     32    0 
 -876638     189    3    19     42    0 
 -876461     269    2    24     37    0 
 -875982     313    3     3     45    0 
 -875602     264    3    19     73    0 
 -875132     908    2    15     46    1 
 -875132     308    0    26     64    0 
 -875132    1023    2     3     95    2 
 -875127     210    2    15     46    0 
 -874928     612    3    27    118    0 
 -874928     259    0    24      0    0 
 -874928     938    1    11    119    1 
 -874928    1023    2     5    117    1 
 -874928     943    3     3    127    3 
 -874928     999    3    11    126    3 
 -874928    1023    3    23    127    3 
 -874926     349    3    15     90    1 
 -874924     177    3     2    111    0 
 -874924     152    3     9     44    0 
 -874720     583    0    19    111    0 
 -874720     320    3     0     96    0 
 -874680     419    2    26    110    0 
 -874408     884    1    13    106    0 
 -874245     868    3     9    110    0 
 -874190     556    3    31     30    0 
 -874158     248    2    14     49    0 
 -874085     342    1    30     41    0 
 -874079     160    1    24    107    0 
 -874053    1023    0     9    127    1 
 -873861     366    1    20     12    0 
 -873585     898    2    26     92    0 
 -873348     654    1     1     91    0 
 -873181     636    1     8     79    0 
 -873145     645    1    25     87    0 
