# Reference time: 2020-04-15 08:48:05.557
#
# Each line represents a single HED count.
#
# tus -- time of the count, microsecond
# ttk -- submicrosecond time of the count, in units of 1/36e6 s (which means 1/36 of a microsecond)
# erg -- energy of the count in channel units
# dau -- DAU (detector assembly unit) of the count (there are four DAUs: 0, 1, 2, 3)
# det -- detector of the count within the DAU (each DAU has three detectors: 0, 1, 2)
# typ -- type of the count: 0 corresponds to NORMAL event, 1 corresponds to FAST event
#
#
#
#    tus    ttk     erg   dau  det  typ
#
-959555    35     101    1    0    0 
-959554     0     216    1    1    0 
-959548     2      50    1    0    0 
-959356     6     137    3    2    0 
-959215    11      44    2    1    0 
-958964    17    1184    2    1    0 
-958897    18    2104    0    2    0 
-958897    23      71    0    1    0 
-958897    24     296    1    2    0 
-958897    25     271    1    0    0 
-958897    25     903    0    0    0 
-958897    25     113    1    1    0 
-958869     4      52    0    0    0 
-958760    28      22    2    0    0 
-958367     1     897    0    2    0 
-958326    17      21    2    0    0 
-958189    27    1775    0    2    0 
-958049    31     147    2    0    0 
-957880    30     263    0    0    0 
-957823    27      44    1    2    0 
-957823    28      40    1    1    0 
-957805     4    1720    1    0    0 
-957805     6    1768    0    2    0 
-957805     7    1463    2    1    0 
-957805    10     126    1    2    0 
-957805    10    1171    2    0    0 
-957787     0      32    1    0    0 
-957727    29    1805    3    2    0 
-957727    34      56    0    1    0 
-957727    34      19    2    2    0 
-957727    35      24    2    1    0 
-957725    22     150    0    2    0 
-957197    17    1784    1    1    0 
-957156     7     175    1    1    0 
-956771    26      73    1    2    0 
-956437    33      31    1    1    0 
-956395    26    1917    0    2    0 
-956395    26    1746    0    1    0 
-956395    31     555    1    0    0 
-956338    21    1169    3    0    0 
-956041    27      30    2    2    0 
-956014    13      36    3    2    0 
-955970     5     284    0    1    0 
-955726     9     477    1    0    0 
-955723    26      67    2    2    0 
-955271    30    1156    1    2    0 
-955056     7     240    3    1    0 
-955056    19     147    0    2    0 
-954957    14      39    1    2    0 
-954707    14     150    1    2    0 
-954425    14      84    3    2    0 
-952722    33    1580    2    0    0 
-952721     0    1490    3    2    0 
-952721     1     170    0    1    0 
-952721     2     150    2    1    0 
-951978    12     164    1    0    0 
-951939    13      25    2    0    0 
-951877    25    1771    1    0    0 
-951877    31      47    0    1    0 
-951877    31     307    3    0    0 
-951877    31     536    1    2    0 
-951877    32     148    0    2    0 
-951465     6      34    0    2    0 
-950715    10    1820    0    0    0 
-950715    16     216    1    0    0 
-950715    16     252    3    2    0 
-950715    16     362    0    1    0 
-950715    16     265    3    1    0 
-950362    30      61    1    2    0 
-950341    30    1751    1    2    0 
-950341    35    1183    1    1    0 
-950212    18      24    0    1    0 
-949539    34     281    3    0    0 
-949476     9      78    2    2    0 
-949354    32      16    2    2    0 
-948960    34     156    0    2    0 
-948960    34      38    1    1    0 
-948571    22    1891    0    0    0 
-948571    24    1676    0    1    0 
-948571    25    1689    0    2    0 
-948571    27     127    1    0    0 
-948529     5     242    1    0    0 
-948280    26    1862    0    0    0 
-948280    29    1549    0    1    0 
-948280    31      71    3    0    0 
-948280    32     386    0    2    0 
-947730     8    1701    1    2    0 
-947596    29    1717    1    0    0 
-947247     6     501    1    2    0 
-946947    26     111    0    2    0 
-946947    27      39    3    2    0 
-946752    26      39    2    0    0 
-946752    26     420    3    2    0 
-946273    15      77    3    0    0 
-945537    17      34    3    1    0 
-945284    35      39    3    2    0 
-945045     2      38    0    0    0 
-944097    31      38    2    0    0 
-943915    19    1811    1    0    0 
-943915    19    1858    1    1    0 
-943915    20    1920    0    2    0 
-943915    20    1625    3    1    0 
-943915    21    1577    1    2    0 
-943915    25     497    3    0    0 
-943915    26      59    3    2    0 
-943781    32     126    1    0    0 
